Organized by total time:

     Calls      Total Time        Per Call      Cumulative Time       Per Call (Cum)                       Function
         2        0.000008        0.000004             0.000114             0.000057 apply_rotation                 calculators\base_rot_angle_calculator.py:28
         2        0.000008        0.000004             0.000017             0.000008 position_turns                 turns_number_group\turns_column.py:76
         2        0.000008        0.000004             0.000105             0.000053 _setup_arrow_svg_renderer      arrow\arrow_svg_manager.py:53
         1        0.000008        0.000008             0.000026             0.000026 initiallize_getter             getter\pictograph_getter.py:30
         2        0.000008        0.000004             0.000187             0.000094 update_arrow_position          arrow_placement_manager\arrow_placement_manager.py:49
         1        0.000008        0.000008             0.005748             0.005748 update_pictograph              updater\pictograph_updater.py:26
         1        0.000008        0.000008             0.000026             0.000026 _get_motion_dataset_from_tuple updater\motion_data_updater.py:136
         2        0.000008        0.000004             0.000013             0.000007 position_dash                  tka_glyph\dash.py:35
         5        0.000008        0.000002             0.000008             0.000002 currently_selected_beat_view   legacy_beat_frame\beat_frame_getter.py:51
         2        0.000008        0.000004             0.000052             0.000026 interpret_turns_tuple          turns_number_group\turns_tuple_interpretor.py:17
         2        0.000007        0.000004             0.000049             0.000024 get_default_adjustment         strategies\default_placement_strategy.py:62
         2        0.000007        0.000004             0.000015             0.000008 update_end_ori                 motion\motion_updater.py:24
         3        0.000007        0.000002             0.000038             0.000038 _dict_to_tuple                 updater\motion_data_updater.py:187
         1        0.000007        0.000007             0.000675             0.000675 update_arrows                  updater\arrow_data_updater.py:24
         1        0.000007        0.000007             0.000010             0.000010 generate_rotation_angle_override_key hotkey_graph_adjuster\rotation_angle_override_key_generator.py:21
         2        0.000007        0.000003             0.000010             0.000005 get_key_from_arrow             placement_managers\attr_key_generator.py:13
         1        0.000007        0.000007             0.000009             0.000009 determine_vtg_mode             vtg_glyph\vtg_glyph.py:94
         2        0.000007        0.000003             0.000017             0.000008 hide                           grid\grid.py:69
         8        0.000007        0.000001             0.000011             0.000001 shift                          getter\pictograph_getter.py:91
         2        0.000007        0.000003             0.000026             0.000013 place_prop_at_hand_point       handlers\default_prop_positioner.py:44
         2        0.000006        0.000003             0.000012             0.000006 _show_motion_graphics          updater\motion_data_updater.py:125
         3        0.000006        0.000002             0.000129             0.000043 turns_tuple                    getter\pictograph_getter.py:119
         2        0.000006        0.000003             0.000018             0.000009 __init__                       calculators\base_rot_angle_calculator.py:20
         1        0.000006        0.000006             0.000018             0.000018 __init__                       getter\lead_state_determiner.py:7
        24        0.000006        0.000000             0.000024             0.000002 make_hashable                  updater\motion_data_updater.py:188
        12        0.000006        0.000001             0.000035             0.000003 get_motion_visibility          visibility_settings\visibility_settings.py:50
        17        0.000006        0.000000             0.000185             0.000011 state                          styles\styled_button.py:113
         5        0.000006        0.000001             0.000008             0.000002 set_pictograph                 turns_tuple_generators\base_turns_tuple_generator.py:19
         2        0.000006        0.000003             0.000116             0.000058 update_dash                    tka_glyph\dash.py:45
         1        0.000006        0.000006             0.000263             0.000263 update                         updater\placement_updater.py:14
         7        0.000006        0.000001             0.000009             0.000001 replace_color                  svg_manager\svg_color_handler.py:37
         2        0.000006        0.000003             0.000007             0.000004 get_diamond_rotation_angle     prop\prop_rot_angle_manager.py:27
         2        0.000006        0.000003             0.000007             0.000003 _select_calculator             location_manager\arrow_location_manager.py:16
         2        0.000006        0.000003             0.000028             0.000014 get_enable_fades               global_settings\global_settings.py:63
         1        0.000006        0.000006             0.000070             0.000070 _extract_motion_dataset        updater\motion_data_updater.py:132
         2        0.000005        0.000003             0.000138             0.000069 update_rotation                rot_angle_manager\arrow_rot_angle_manager.py:29
         4        0.000005        0.000001             0.000005             0.000001 position_graph_editor          graph_editor\legacy_graph_editor.py:83
        20        0.000005        0.000000             0.000005             0.000000 _get_border_color              ori_picker_widget\clickable_ori_label.py:39
        10        0.000005        0.000001             0.000005             0.000001 _normalize_turns               turns_tuple_generators\base_turns_tuple_generator.py:10
         1        0.000005        0.000005             0.000092             0.000092 update_beat_number             legacy_beat_frame\beat_number_item.py:24
         1        0.000005        0.000005             0.000005             0.000005 __init__                       fade_manager\fadeable_opacity_effect.py:5
         4        0.000005        0.000001             0.000024             0.000006 get_glyph_visibility           visibility_settings\visibility_settings.py:21
         2        0.000005        0.000002             0.000008             0.000004 get_end_ori                    motion\motion_ori_calculator.py:41
         1        0.000005        0.000005             0.001104             0.001104 update_grid_mode_if_changed    updater\pictograph_updater.py:66
         2        0.000005        0.000002             0.000033             0.000017 update_mirror                  arrow\arrow_mirror_handler.py:13
         1        0.000005        0.000005             0.000027             0.000027 clear                          main_widget\base_indicator_label.py:57
         1        0.000005        0.000005             0.000894             0.000894 update                         updater\glyph_updater.py:14
         4        0.000005        0.000001             0.000005             0.000001 resolve                        core\dependency_container.py:115
         2        0.000005        0.000002             0.000108             0.000054 _get_arrow_svg_file            arrow\arrow_svg_manager.py:23
         2        0.000005        0.000002             0.000016             0.000008 _get_directional_adjustments   arrow_placement_manager\arrow_adjustment_calculator.py:104
         1        0.000005        0.000005             0.000099             0.000099 calculate_angle                calculators\dash_rot_angle_calculator.py:6
         2        0.000005        0.000002             0.000102             0.000051 _get_radial_svg_file           arrow\arrow_svg_manager.py:43
         2        0.000005        0.000002             0.000013             0.000013 resizeEvent                    labels\sequence_workbench_indicator_label.py:16
         2        0.000004        0.000002             0.001834             0.000917 update_grid_mode               grid\grid.py:73
         2        0.000004        0.000002             0.000005             0.000003 _get_letter_suffix             strategies\placement_key_generator.py:18
         8        0.000004        0.000001             0.000007             0.000001 dash                           getter\pictograph_getter.py:87
         2        0.000004        0.000002             0.000004             0.000002 update_prefloat_state          motion\prefloat_state_updater.py:20
         2        0.000004        0.000002             0.000009             0.000004 get_quadrant_index             arrow_placement_manager\quadrant_index_handler.py:31
         3        0.000004        0.000001             0.000005             0.000002 get_grid_mode                  main_widget\grid_mode_checker.py:9
         1        0.000004        0.000004             0.000065             0.000065 update_prop_positions          prop_placement_manager\prop_placement_manager.py:17
         1        0.000004        0.000004             0.000005             0.000005 calculate_location             calculators\shift_location_calculator.py:6
         1        0.000004        0.000004             0.000008             0.000008 _handle_orientation_based_rotation calculators\dash_rot_angle_calculator.py:32
         2        0.000004        0.000002             0.000096             0.000048 add_dash                       tka_glyph\dash.py:21
         2        0.000004        0.000002             0.000004             0.000002 _get_current_motion            turns_widget\turns_widget.py:75
         1        0.000004        0.000004             0.000009             0.000009 _get_animation_cache_key       fade_manager\widget_fader.py:27
         4        0.000004        0.000001             0.000293             0.000073 set_color                      turns_number_group\turns_number.py:24
         2        0.000004        0.000002             0.001813             0.000907 __init__                       grid\grid.py:19
         2        0.000004        0.000002             0.000011             0.000006 update_attributes              prop\prop_attr_manager.py:25
         4        0.000004        0.000001             0.000005             0.000001 _select_calculator_class       rot_angle_manager\arrow_rot_angle_manager.py:19
         2        0.000004        0.000002             0.000010             0.000005 get_directional_tuples         arrow_placement_manager\directional_tuple_generator.py:135
         1        0.000004        0.000004             0.000004             0.000004 _dash_orientation_rotation_map calculators\dash_rot_angle_calculator.py:40
         1        0.000004        0.000004             0.000017             0.000017 update_elemental_glyph         elemental_glyph\elemental_glyph.py:75
         3        0.000004        0.000001             0.000004             0.000001 ends_with_beta                 managers\pictograph_checker.py:14
         2        0.000004        0.000002             0.000010             0.000005 compute_initial_position       strategies\initial_placement_strategy.py:14
         3        0.000004        0.000001             0.000005             0.000002 display_value                  turns_adjustment_manager\turns_value.py:18
         1        0.000003        0.000003             0.000005             0.000005 calculate_location             calculators\dash_location_calculator.py:153
         1        0.000003        0.000003             0.000007             0.000007 get_letter                     letter\letter.py:89
         2        0.000003        0.000002             0.000166             0.000083 get_adjustment                 arrow_placement_manager\arrow_adjustment_calculator.py:32
